clean_image,adv_image,noise
clean_20260605_215719_868796.jpg,adv_20260601_200722_033489.jpg,40.6
clean_20260605_215719_868796.jpg,adv_20260601_200726_985328.jpg,23.56
clean_20260605_215719_868796.jpg,adv_20260601_200732_790092.jpg,62.34
clean_20260605_215719_868796.jpg,adv_20260601_200735_190392.jpg,54.09
clean_20260605_215719_868796.jpg,adv_20260601_200737_438642.jpg,33.39
clean_20260605_215719_868796.jpg,adv_20260601_200740_257993.jpg,32.71
clean_20260605_215719_868796.jpg,adv_20260601_200742_857943.jpg,50.83
clean_20260605_215719_868796.jpg,adv_20260601_200745_536431.jpg,47.59
clean_20260605_215719_868796.jpg,adv_20260601_200748_060134.jpg,44.75
clean_20260605_215719_868796.jpg,adv_20260601_200750_768035.jpg,53.48
clean_20260605_215719_868796.jpg,adv_20260601_200753_275939.jpg,53.65
clean_20260605_215719_868796.jpg,adv_20260601_200755_934735.jpg,55.77
clean_20260605_215719_868796.jpg,adv_20260601_200758_560376.jpg,54.83
clean_20260605_215719_868796.jpg,adv_20260601_200801_309674.jpg,55.06
clean_20260605_215719_868796.jpg,adv_20260601_200804_016125.jpg,55.29
clean_20260605_215719_868796.jpg,adv_20260601_200806_798043.jpg,55.34
clean_20260605_215719_868796.jpg,adv_20260601_200809_331978.jpg,54.42
clean_20260605_215719_868796.jpg,adv_20260601_200811_983553.jpg,51.45
clean_20260605_215719_868796.jpg,adv_20260601_200814_628342.jpg,52.4
clean_20260605_215719_868796.jpg,adv_20260605_215748_101872.jpg,31.76
clean_20260605_215719_868796.jpg,adv_20260605_215750_533919.jpg,31.39
clean_20260605_215719_868796.jpg,adv_20260605_215752_721990.jpg,41.83
clean_20260605_215719_868796.jpg,adv_20260605_215755_307287.jpg,41.61
clean_20260605_215719_868796.jpg,adv_20260605_215757_810874.jpg,43.76
clean_20260605_215719_868796.jpg,adv_20260605_215800_592501.jpg,44.22
clean_20260605_215719_868796.jpg,adv_20260605_215803_081455.jpg,44.23
clean_20260605_215719_868796.jpg,adv_20260605_215805_938313.jpg,44.37
clean_20260605_215719_868796.jpg,adv_20260605_215808_796071.jpg,44.66
clean_20260605_215719_868796.jpg,adv_20260605_215812_986796.jpg,44.51
clean_20260605_215719_868796.jpg,adv_20260605_215818_237625.jpg,43.98
clean_20260605_215719_868796.jpg,adv_20260605_215823_308924.jpg,43.57
clean_20260605_215719_868796.jpg,adv_20260605_215829_145319.jpg,42.86
clean_20260605_215719_868796.jpg,adv_20260605_215834_137085.jpg,41.72
clean_20260605_215719_868796.jpg,adv_20260605_215838_559498.jpg,42.36
clean_20260605_215719_868796.jpg,adv_20260605_215843_958127.jpg,42.37
clean_20260605_215719_868796.jpg,adv_20260605_215848_819475.jpg,42.36
clean_20260605_215719_868796.jpg,adv_20260605_215852_690638.jpg,42.91
clean_20260605_215719_868796.jpg,adv_20260605_215857_082744.jpg,43.12
clean_20260605_215719_868796.jpg,adv_20260605_215900_620554.jpg,43.07
clean_20260605_215719_868796.jpg,adv_20260605_215903_720048.jpg,43.07
clean_20260605_215719_868796.jpg,adv_20260605_215909_062375.jpg,43.05
clean_20260605_215719_868796.jpg,adv_20260605_215916_342726.jpg,43.09
clean_20260605_215719_868796.jpg,adv_20260605_215920_532905.jpg,42.78
clean_20260605_215719_868796.jpg,adv_20260605_215924_597056.jpg,42.8
clean_20260605_215719_868796.jpg,adv_20260605_215932_155746.jpg,42.72
clean_20260605_215719_868796.jpg,adv_20260605_215936_620273.jpg,42.9
clean_20260605_215719_868796.jpg,adv_20260605_215939_969450.jpg,42.87
clean_20260605_215719_868796.jpg,adv_20260605_215945_620841.jpg,42.87
clean_20260605_215719_868796.jpg,adv_20260605_215949_643689.jpg,42.7
clean_20260605_215719_868796.jpg,adv_20260605_215955_329492.jpg,41.84
clean_20260605_215719_868796.jpg,adv_20260605_220000_522410.jpg,46.53
clean_20260605_215719_868796.jpg,adv_20260605_220003_401347.jpg,42.09
clean_20260605_215719_868796.jpg,adv_20260605_220008_438069.jpg,42.08
clean_20260605_215719_868796.jpg,adv_20260605_220015_985705.jpg,41.99
clean_20260605_215720_076792.jpg,adv_20260601_200722_033489.jpg,38.55
clean_20260605_215720_076792.jpg,adv_20260601_200726_985328.jpg,23.55
clean_20260605_215720_076792.jpg,adv_20260601_200732_790092.jpg,65.18
clean_20260605_215720_076792.jpg,adv_20260601_200735_190392.jpg,56.57
clean_20260605_215720_076792.jpg,adv_20260601_200737_438642.jpg,33.52
clean_20260605_215720_076792.jpg,adv_20260601_200740_257993.jpg,33.02
clean_20260605_215720_076792.jpg,adv_20260601_200742_857943.jpg,53.29
clean_20260605_215720_076792.jpg,adv_20260601_200745_536431.jpg,50.16
clean_20260605_215720_076792.jpg,adv_20260601_200748_060134.jpg,46.91
clean_20260605_215720_076792.jpg,adv_20260601_200750_768035.jpg,55.93
clean_20260605_215720_076792.jpg,adv_20260601_200753_275939.jpg,56.08
clean_20260605_215720_076792.jpg,adv_20260601_200755_934735.jpg,57.9
clean_20260605_215720_076792.jpg,adv_20260601_200758_560376.jpg,57.53
clean_20260605_215720_076792.jpg,adv_20260601_200801_309674.jpg,57.76
clean_20260605_215720_076792.jpg,adv_20260601_200804_016125.jpg,58.05
clean_20260605_215720_076792.jpg,adv_20260601_200806_798043.jpg,58.02
clean_20260605_215720_076792.jpg,adv_20260601_200809_331978.jpg,57.13
clean_20260605_215720_076792.jpg,adv_20260601_200811_983553.jpg,54.11
clean_20260605_215720_076792.jpg,adv_20260601_200814_628342.jpg,54.69
clean_20260605_215720_076792.jpg,adv_20260605_215748_101872.jpg,31.11
clean_20260605_215720_076792.jpg,adv_20260605_215750_533919.jpg,30.79
clean_20260605_215720_076792.jpg,adv_20260605_215752_721990.jpg,43.66
clean_20260605_215720_076792.jpg,adv_20260605_215755_307287.jpg,43.4
clean_20260605_215720_076792.jpg,adv_20260605_215757_810874.jpg,44.73
clean_20260605_215720_076792.jpg,adv_20260605_215800_592501.jpg,45.17
